Conjunto de dados;Descrição conjunto de dados;Catalogo de origem;Orgao origem;Categoria;Identificador;Titulo recurso;Formato;Descricao recurso;Instituicao;Objetivo;Pais
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;O Programa europeu ERA-MIN 2 - desenvolvimento de tratamento mecânico com processo hidrometalúrgico para recuperação de materiaia plásticos e metais ferrosos e não ferrosos. Projeto financiado pela FINEP.;Ecosistem S.r.I. / Eco Recycling / Sapienza Università di Roma;O Programa europeu ERA-MIN 2 - desenvolvimento de tratamento mecânico com processo hidrometalúrgico para recuperação de materiaia plásticos e metais ferrosos e não ferrosos. Projeto financiado pela FINEP.;Itália
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Desenvolver ações conjuntas e estabelecer cooperação nas áreas de Bioengenharia, Bioimpressão 3D, entre outras.;Indiana University Bloomington;Desenvolver ações conjuntas e estabelecer cooperação nas áreas de Bioengenharia, Bioimpressão 3D, entre outras.;Estados Unidos
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Desenvolvimento de Filtros Ópticos Sintonizáveis baseados em silício com alto desempenho e energeticamente eficientes.;Zhejiang University - ZJU / Indian Institute of Technology (IIT) Roorkee;Desenvolvimento de Filtros Ópticos Sintonizáveis baseados em silício com alto desempenho e energeticamente eficientes.;China e Índia
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Controle de robôs e estimação visual-inercial - a presente cooperação tem por objetivo o desenvolvimento de novos modelos matemáticos e métodos computacionais de estimação paramétrica em tempo real e de controle automático de robôs. Em particular, as fontes sensoriais consideradas são as câmeras de vídeo e as centrais inerciais. Dentre as diversas aplicações, destacam-se: controle de robôs industriais, aéreos e de superfície, realidade aumentada, rastreamento visual, estabilização de imagens, etc.;Université Pierre et Marie Curie / Sorbonne Universités;Controle de robôs e estimação visual-inercial - a presente cooperação tem por objetivo o desenvolvimento de novos modelos matemáticos e métodos computacionais de estimação paramétrica em tempo real e de controle automático de robôs. Em particular, as fontes sensoriais consideradas são as câmeras de vídeo e as centrais inerciais. Dentre as diversas aplicações, destacam-se: controle de robôs industriais, aéreos e de superfície, realidade aumentada, rastreamento visual, estabilização de imagens, etc.;França
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;"Programa Fulbright Visiting Scholar - Projeto: ""Nanocintiladores de perovskita para detecção de radiação"".";University of Texas at Dallas;"Programa Fulbright Visiting Scholar - Projeto: ""Nanocintiladores de perovskita para detecção de radiação"".";Estados Unidos
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;"Materiais fotônicos; Biofotônica; fibras ópticas, sensores e dispositivos ópticos em onda guiada; comunicações ópticas e pulsos ultra curtos. ";Université Laval - Centre d'Optique, Photonique et Laser;"Materiais fotônicos; Biofotônica; fibras ópticas, sensores e dispositivos ópticos em onda guiada; comunicações ópticas e pulsos ultra curtos. ";Canadá
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Capacitação de estudantes de Engenharia Mecânica e Mecatrônica da University Twente.;University Twente;Capacitação de estudantes de Engenharia Mecânica e Mecatrônica da University Twente.;Holanda
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Fortalecer a cooperação em ciência, tecnologia e inovação entre os cincos países emergentes, além de implementar as medidas acordadas no âmbito de Memorando de Entendimento sobre a Cooperação em Ciência, Tecnologia e Inovação (CT&I) do BRICS, das ações estabelecidas no Grupo de Trabalho de Fotônica e contribuir para a implementação das ações de Cooperação Internacional previstas no Plano de Ação de CT&I para Tecnologias Convergentes e Habilitadoras - Fotônica.;BRICS Virtual Institute of Photonics;Fortalecer a cooperação em ciência, tecnologia e inovação entre os cincos países emergentes, além de implementar as medidas acordadas no âmbito de Memorando de Entendimento sobre a Cooperação em Ciência, Tecnologia e Inovação (CT&I) do BRICS, das ações estabelecidas no Grupo de Trabalho de Fotônica e contribuir para a implementação das ações de Cooperação Internacional previstas no Plano de Ação de CT&I para Tecnologias Convergentes e Habilitadoras - Fotônica.;Rússia, Índia, China e África do Sul
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Participação no desenvolvimento de sistemas de fotodetecção para neutrinos para TPC (time projection chamber) sob Argônio Líquido nos experimentos DUNE (FERMILAB & CERN), como parte de uma colaboração que envolve mais de 1.000 pesquisadores e 180 instituições pelo mundo. O desenvolvimento dos detectores, contou com a participação do CTI, em parceria com a UNICAMP, por meio do grupo de Instrumentação Científica. Representando o CTI, Vinicius Pimentel foi aceito como membro do Institucional Board-IB do DUNE/FERMILAB. Essas contribuições colocam o CTI Renato Archer em posição de destaque internacional em experimentos de física para altas energias e em desenvolvimento de dectectores para neutrinos.;FERMILAB e CERN;Participação no desenvolvimento de sistemas de fotodetecção para neutrinos para TPC (time projection chamber) sob Argônio Líquido nos experimentos DUNE (FERMILAB & CERN), como parte de uma colaboração que envolve mais de 1.000 pesquisadores e 180 instituições pelo mundo. O desenvolvimento dos detectores, contou com a participação do CTI, em parceria com a UNICAMP, por meio do grupo de Instrumentação Científica. Representando o CTI, Vinicius Pimentel foi aceito como membro do Institucional Board-IB do DUNE/FERMILAB. Essas contribuições colocam o CTI Renato Archer em posição de destaque internacional em experimentos de física para altas energias e em desenvolvimento de dectectores para neutrinos.;Estados Unidos e Suíça
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Projeto Bioimpressão 4D: biotintas - avaliação das respostas reológica e térmica de uma biotinta inteligente baseada em alginato/ gelatina/PNIPAm, que possam ser veículos de sistemas celulares, e assim gerar uma biotinta inteligente e que possa ser utilizada em um processo de bioimpressão 3D/4D.;Universidad Simón Bolívar (USB);Projeto Bioimpressão 4D: biotintas - avaliação das respostas reológica e térmica de uma biotinta inteligente baseada em alginato/ gelatina/PNIPAm, que possam ser veículos de sistemas celulares, e assim gerar uma biotinta inteligente e que possa ser utilizada em um processo de bioimpressão 3D/4D.;Venezuela
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Desenvolvimento do Neuronavegador InVesalius, software livre e de código aberto, como solução para integração de scanners médicos e impressão 3D, incorporando técnicas modernas de computação gráfica, algoritmos especiais e inteligência artificial visando atingir resultados precisos, rápidos e seguros para processamento e análise de imagens médicas.;Aalto University;Desenvolvimento do Neuronavegador InVesalius, software livre e de código aberto, como solução para integração de scanners médicos e impressão 3D, incorporando técnicas modernas de computação gráfica, algoritmos especiais e inteligência artificial visando atingir resultados precisos, rápidos e seguros para processamento e análise de imagens médicas.;Finlândia
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Projeto Temático FAPESP: Funcionalização de dispositivos microfabricados visando à captura seletiva de células tumorais circulantes para fins de diagnóstico;Massachussets Institute of Technology;Projeto Temático FAPESP: Funcionalização de dispositivos microfabricados visando à captura seletiva de células tumorais circulantes para fins de diagnóstico;Estados Unidos
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Projeto Temático FAPESP: Funcionalização de dispositivos microfabricados visando à captura seletiva de células tumorais circulantes para fins de diagnóstico;Laval University;Projeto Temático FAPESP: Funcionalização de dispositivos microfabricados visando à captura seletiva de células tumorais circulantes para fins de diagnóstico;Canadá
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Projeto finalizado em Biofabricação com coorientação de aluna de Doutorado e proposta atual de projeto no contexto da chamada conjunta NWO-FAPESP em Biofabricação;Maastricht University;Projeto finalizado em Biofabricação com coorientação de aluna de Doutorado e proposta atual de projeto no contexto da chamada conjunta NWO-FAPESP em Biofabricação;Holanda
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Proposta conjunta de projeto em andamento no contexto da chamada conjunta NWO-FAPESP em materiais avançados para a saúde;Endenhoven University;Proposta conjunta de projeto em andamento no contexto da chamada conjunta NWO-FAPESP em materiais avançados para a saúde;Holanda
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Desenvolvimento do Neuronavegador InVesalius, software livre e de código aberto, como solução para integração de scanners médicos e impressão 3D, incorporando técnicas modernas de computação gráfica, algoritmos especiais e inteligência artificial visando atingir resultados precisos, rápidos e seguros para processamento e análise de imagens médicas.;Aalto University;Desenvolvimento do Neuronavegador InVesalius, software livre e de código aberto, como solução para integração de scanners médicos e impressão 3D, incorporando técnicas modernas de computação gráfica, algoritmos especiais e inteligência artificial visando atingir resultados precisos, rápidos e seguros para processamento e análise de imagens médicas.;Finlândia
Parcerias e Cooperações;Lista de parcerias e cooperações nacionais e internacionais com instituições públicas e privadas, bilaterais ou multilaterais.;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Centro de Tecnologia da Informação Renato Archer;Ciência, informação e comunicação;https://www.gov.br/cti/pt-br/acesso-a-informacao/dados-abertos/conjunto-de-dados/parcerias-e-cooperacoes;Parcerias e Cooperações;CSV;Fortalecer a cooperação em ciência, tecnologia e inovação entre os cincos países emergentes, além de implementar as medidas acordadas no âmbito de Memorando de Entendimento sobre a Cooperação em Ciência, Tecnologia e Inovação (CT&I) do BRICS, das ações estabelecidas no Grupo de Trabalho de Fotônica e contribuir para a implementação das ações de Cooperação Internacional previstas no Plano de Ação de CT&I para Tecnologias Convergentes e Habilitadoras - Fotônica.;BRICS Virtual Institute of Photonics;Fortalecer a cooperação em ciência, tecnologia e inovação entre os cincos países emergentes, além de implementar as medidas acordadas no âmbito de Memorando de Entendimento sobre a Cooperação em Ciência, Tecnologia e Inovação (CT&I) do BRICS, das ações estabelecidas no Grupo de Trabalho de Fotônica e contribuir para a implementação das ações de Cooperação Internacional previstas no Plano de Ação de CT&I para Tecnologias Convergentes e Habilitadoras - Fotônica.;Rússia, Índia, China e África do Sul
